course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
42634	Advanced Options Concepts - Probability, Greeks, Simulation	60	Paid	968	81	10	All Levels	0.88	2.0	2/27/2013
797762	Corporate Finance 101: Financial Statement Analysis & Ratios	50	Paid	967	16	43	Intermediate Level	0.88	8.0	3/20/2016
1266148	Preparation of Consolidated Financial Statements (Basic)	0	Free	965	0	18	All Levels	0.88	1.5	6/28/2017
398798	Forex: Learn to Trade Forex and FX Consistently	50	Paid	956	4	21	All Levels	0.88	5.5	1/20/2015
419308	TRADING TACTICS	145	Paid	951	25	62	All Levels	0.88	6.0	2/13/2015
249934	Finance for Non Finance Executives	180	Paid	944	44	187	Beginner Level	0.88	13.0	6/25/2014
1103718	Naked Put Options Trade Covered Call & Poor Man Covered Call	200	Paid	939	7	19	Intermediate Level	0.88	1.5	2/10/2017
1171994	A Beginner's Guide to Quantopian Futures API	20	Paid	936	6	11	All Levels	0.88	1.5	4/11/2017
1072156	Binary Beginners Mastery Strategy.	0	Free	927	8	14	Beginner Level	0.88	1.0	5/2/2017
362530	Public Speaking: You Can Give Great Financial Presentations	20	Paid	916	6	23	Intermediate Level	0.88	6.5	12/11/2014
808506	Candlestick Analysis For Professional Traders	95	Paid	913	117	48	Beginner Level	0.88	2.0	5/18/2016
1030976	The Complete Financial Statement Analysis Course	150	Paid	912	12	37	All Levels	0.88	3.0	1/11/2017
507486	Technical Analysis 101: Secrets of Trading Revealed	150	Paid	912	27	81	All Levels	0.11	2.5	7/16/2015
521234	Accounting Books of Accounts (College Level)	20	Paid	911	2	18	Intermediate Level	0.98	1.5	6/5/2015
830994	Non Directional Weekly Options Trading System - ETF & Emini	200	Paid	897	22	21	All Levels	0.66	2.0	5/24/2016
260066	Banking Credit Analysis Process (for Bankers)	180	Paid	894	62	241	Intermediate Level	0.59	17.5	7/12/2014
386922	Seeing the Big Picture: Understanding Financial Statements	50	Paid	885	69	14	Beginner Level	0.59	0.716666667	1/7/2015
378464	Accounting for CA CPT Exams Part I	50	Paid	874	2	120	All Levels	0.75	13.5	12/27/2014
480752	Investing In Stocks With 10 Simple Rules	95	Paid	871	79	59	All Levels	0.95	2.0	6/16/2015
593460	Successful Day Trading with Fibonacci	200	Paid	869	135	11	All Levels	0.02	2.0	8/31/2015
713258	Bookkeeping Basics: Understand the Fundamentals	75	Paid	853	45	48	All Levels	0.47	4.5	11/6/2016
757508	Financial Accounting, its Cycle, Statements & Analysis	20	Paid	853	4	35	Expert Level	0.99	5.0	3/8/2016
497236	Raise Your Credit Score to 800 Or More....	50	Paid	844	33	40	Beginner Level	0.3	2.0	7/12/2015
445916	Excel Dashboard - Interactive Excel Dashboard and Charts	30	Paid	843	54	34	All Levels	0.94	3.0	3/19/2015
915964	Learn to Reliably Invest In The Stock Market	50	Paid	841	14	19	All Levels	0.93	0.616666667	7/29/2016
949504	Straddle Options Trading - Profit in Any Market Direction	200	Paid	837	9	19	Beginner Level	0.34	1.0	10/3/2016
1028030	Analysis of Company Financial Statements	20	Paid	832	34	34	All Levels	0.3	1.5	12/7/2016
66383	A Beginners Guide to Technical Analysis of Stock Charts	40	Paid	829	78	50	Beginner Level	0.3	8.5	9/15/2013
486240	2 Easy Steps To Investment And Avoiding Traps	20	Paid	828	1	20	Beginner Level	0.67	1.0	4/27/2015
1167710	The Only Investment Strategy You Need For Your Retirement	200	Paid	827	14	15	All Levels	0.23	1.0	4/18/2017
571506	ProTrader -  Advanced Technical Analysis	125	Paid	825	11	34	All Levels	0.89	2.0	8/22/2016
389108	Stock Market - Swing Trading Strategies for Wall Street	50	Paid	814	9	5	Beginner Level	0.66	1.0	1/9/2015
598846	Forex para Principiantes-Ejemplos en VIVO de Trading Real	140	Paid	813	94	52	All Levels	0.07	5.0	10/5/2015
587232	Simple Linear Regression Analysis ( A Complete Course )	200	Paid	811	5	29	Beginner Level	0.78	1.5	8/27/2015
920424	Option Trading for Rookies: Basic Option Strategies	95	Paid	810	27	61	All Levels	0.08	2.5	8/25/2016
1242604	Winning Forex Trading with Live Forex Trading Examples	200	Paid	809	3	25	Intermediate Level	0.74	2.0	6/6/2017
514036	Crystal ball trading - foresee price with seasonal patterns	145	Paid	807	19	23	All Levels	0.15	6.0	6/14/2015
743914	Value Investing For Beginners	100	Paid	801	48	25	All Levels	0.89	2.5	5/11/2016
136244	Triple P Trading Course	20	Paid	797	15	16	All Levels	0.88	3.0	12/24/2013
173462	Aprende a invertir y deja que tu dinero trabaje para ti	145	Paid	789	68	95	All Levels	0.94	14.0	3/3/2014
368916	Step by step guide to understand how business perform	20	Paid	788	3	15	Beginner Level	0.34	0.633333333	12/14/2014
45136	Weekly Options and study of Options expiration dynamics	60	Paid	779	56	6	Beginner Level	0.79	1.0	3/8/2013
42651	Straddles and Strangles - Volatility moves in any direction	60	Paid	775	54	11	Beginner Level	0.88	1.5	3/12/2013
790034	Learn How to Trade Pump and Dumps. 5 Setups Well Explained.	50	Paid	769	10	18	Expert Level	0.63	2.0	3/14/2016
282050	The Day Trader: Learn to Trade The Stock Market and Forex	20	Paid	768	23	54	Beginner Level	0.8	10.5	8/21/2014
387348	Financial Statement Fundamentals for Small Biz & Investors	30	Paid	751	1	61	Beginner Level	0.96	3.0	5/14/2015
838260	Forex trading Basic to advance Professional Level course	20	Paid	750	13	28	Beginner Level	0.47	2.5	5/5/2016
1024862	Making Tax Digital - UK HMRC Legislation Explained	0	Free	743	0	7	All Levels	0.14	1.0	6/6/2017
692268	Learn Business Finance: Win more work as a Business Coach	20	Paid	741	4	22	All Levels	0.7	2.0	1/3/2016
352150	Learn to Trade for Profit: Ten Most Profitable Trading Rules	95	Paid	739	28	45	All Levels	0.16	2.0	12/23/2014
178776	Fixed Income Securities	50	Paid	739	54	24	Intermediate Level	0.02	4.5	3/11/2014
42645	Backspreads, Diagonals and Butterflies - Advanced Strategies	60	Paid	737	41	10	Beginner Level	0.88	2.0	3/3/2013
484134	Cost Accounting Operating Costing(Professional Course Level)	20	Paid	731	2	8	All Levels	0.88	1.0	4/24/2015
45139	"Get to know the VIX Index (aka 'The Fear Index)"""	60	Paid	727	64	9	All Levels	0.01	1.0	3/8/2013
1175694	Get a Credit Repair Publication On Amazon and Live LIFE..	20	Paid	727	11	25	Beginner Level	0.86	3.0	4/26/2017
323196	Master Finance in Three Hours	20	Paid	721	12	29	Beginner Level	0.35	3.0	10/28/2014
987682	Stocks: Quick Method to get started Investing	0	Free	718	13	7	All Levels	0.07	1.0	5/18/2017
408894	Basics of Tax in India  (College Level)	20	Paid	718	5	28	Beginner Level	0.3	2.0	1/31/2015
471588	Learn how to INVEST for huge profits or make it big trading!	50	Paid	701	12	37	Beginner Level	0.59	5.5	6/19/2015
179820	Introduction to Futures & Options	50	Paid	694	35	27	Beginner Level	0.25	4.5	3/11/2014
213154	Automate Your Finances	20	Paid	690	17	21	Beginner Level	0.6	1.0	5/8/2014
907416	Tudo sobre Investimentos em Renda Fixa	45	Paid	689	145	16	All Levels	0.96	2.0	8/22/2016
403628	Bookkeeping to Command Senior Bookkeeping Wages	55	Paid	683	16	58	All Levels	0.47	4.5	3/6/2015
1103272	"How to remove 'Risk from Penny Stocks - Options Trading"""	200	Paid	668	12	22	All Levels	0.24	1.0	2/7/2017
828740	Hedge Fund Accounting and Valuation	20	Paid	668	10	11	All Levels	0.34	0.566666667	4/28/2016
443502	Essential Finance For Managers	25	Paid	663	10	79	Beginner Level	0.57	5.5	4/16/2015
1198166	Top 10 Trading Ideas in the Equities Market	20	Paid	661	4	12	Beginner Level	0.34	1.0	5/2/2017
1239068	How to Buy Cheap Options - Options Trading Pricing Model	200	Paid	658	2	19	Beginner Level	0.64	1.0	6/2/2017
862786	Financial modeling: Build a multiples valuation model	20	Paid	656	17	20	All Levels	0.55	1.5	5/30/2016
298522	Navigate the 10-K and Other Financial Reports	40	Paid	653	55	20	All Levels	0.96	2.5	11/8/2014
40039	Comprehensive Forex Mastery Program	45	Paid	650	107	97	Intermediate Level	0.98	10.0	2/7/2013
1062144	Aprende a invertir sin capital	130	Paid	649	37	29	All Levels	0.27	1.5	5/1/2017
466632	Stock Markets: How I Became Rich By Changing How I Trade	20	Paid	646	6	17	Intermediate Level	0.87	1.0	9/13/2015
529828	Python for Trading & Investing	95	Paid	638	25	36	All Levels	0.78	5.0	6/17/2015
788796	The Cost of Capital: The Key To Attract Venture Capitalists	50	Paid	635	4	6	All Levels	0.5	0.683333333	3/22/2016
629060	Trading Trends in ANY Market	30	Paid	632	49	22	Beginner Level	0.55	2.0	10/4/2015
439362	Professional Options Trading, Simplified	200	Paid	631	49	21	All Levels	0.96	2.0	4/17/2015
598094	Crowdfunding to Win	40	Paid	627	15	15	All Levels	0.96	1.5	9/23/2015
579642	Professional Trading - Consistent Profits with Low Risk!	20	Paid	627	5	27	All Levels	0.96	1.0	10/17/2015
42197	Options Spreads Bundle-  the heart of Options Trading	120	Paid	623	43	8	Beginner Level	0.96	2.5	2/19/2013
103144	Forex Elite Trading	85	Paid	623	7	22	All Levels	0.96	6.0	10/18/2013
364428	CFA Corporate Finance Level 1 (Part 1)	180	Paid	621	1	107	Beginner Level	0.96	14.5	12/6/2014
280842	Take Your Career to the Next Level with MBA Finance	50	Paid	618	10	19	All Levels	0.96	2.0	10/29/2015
552504	Introduction to Options - Strategies For Consistent Profits	40	Paid	617	44	55	All Levels	0.96	4.5	8/16/2015
169662	Capital Market Immersion	195	Paid	613	33	142	Beginner Level	0.96	24.5	2/25/2014
749468	Kostenrechnung lernen leicht gemacht	40	Paid	612	46	72	Beginner Level	0.96	3.0	6/6/2016
1243448	"Forex Trading with Fixed 'Risk through Options Trading"""	200	Paid	611	4	26	Beginner Level	0.96	1.0	6/7/2017
42642	The Basics Of Volume Analysis	60	Paid	611	57	13	All Levels	0.96	1.5	2/24/2013
724596	Tax Preparation: Learn Fast! Prepare Taxes with Confidence!	200	Paid	609	32	33	All Levels	0.96	2.5	1/12/2016
42491	CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery	60	Paid	607	55	16	All Levels	0.96	2.0	3/5/2013
975074	ALGOTECH Hedge Fund Method for Stock Market Trading	20	Paid	605	19	4	Intermediate Level	0.96	0.316666667	10/10/2016
854764	Indian Contract Act 1872: Must for all Finance Professionals	20	Paid	605	3	14	Beginner Level	0.96	1.0	5/20/2016
158830	Samuel and Co Trading - Stock & Forex Trading	50	Paid	592	109	24	All Levels	0.96	5.5	2/10/2014
1053272	The Financial Analyst Skills Training (FAST) course 2017	100	Paid	589	31	138	All Levels	0.96	10.0	1/2/2017
160322	Basics of Finance and Budgeting	20	Paid	578	7	34	Beginner Level	0.96	6.0	5/19/2014
696616	Stock Market for Beginners - Complete Starter Toolkit	120	Paid	577	45	82	Beginner Level	0.96	6.5	3/31/2016
258174	Accounting for Depreciation (Collage Level)	20	Paid	576	1	14	Expert Level	0.55	1.0	7/9/2014
159388	3. Compound Interest	20	Paid	570	2	21	Beginner Level	0.88	2.0	2/11/2014
1046724	Quantitative Trading Analysis with R	50	Paid	567	40	53	Beginner Level	0.24	7.5	12/22/2016
207166	How to Copy the Best Traders on Etoro	90	Paid	564	9	41	Beginner Level	0.55	3.5	5/1/2014
247558	A Complete Guide to Becoming a Trader on the Forex Market	25	Paid	562	11	15	All Levels	0.96	1.0	6/28/2014
355622	Trade Forex 13 Patterns - Golden Ratios Secret Revealed	200	Paid	554	63	44	Beginner Level	0.2	4.0	1/10/2015
615206	Professional Bookkeeping & Accounting 1: Sales & Purchases	35	Paid	551	22	34	Beginner Level	0.57	1.5	9/27/2015
718338	How To Confidently Join The Bitcoin Revolution	45	Paid	547	98	53	All Levels	0.94	7.0	1/14/2016
179446	Commercial Credit Analysis	50	Paid	545	48	42	Beginner Level	0.96	7.5	3/12/2014
883394	Forex - Calculate Lot Size Like Pro	20	Paid	543	14	11	All Levels	0.86	0.6	6/21/2016
44319	Master Calendar Spreads with this live trade on Gold (GLD)	60	Paid	540	44	6	Beginner Level	0.96	1.0	3/2/2013
597716	Trade Pullback Candlestick Strategy - Make Consistent Pips	200	Paid	521	67	24	Beginner Level	0.19	3.0	2/24/2016
240256	Forex Breakout Profits: The Definitive Guide	25	Paid	521	60	27	All Levels	0.93	2.5	11/30/2014
466774	Learn About Bitcoin and Bitcoin Mining	20	Paid	520	10	9	All Levels	0.11	0.533333333	5/1/2015
252950	Chartered Financial Analyst (CFA) - Level 1 - FRA	30	Paid	517	5	17	All Levels	0.34	14.5	6/30/2014
975414	Contango VXX - ETF Options Trading - Double Your Investment	200	Paid	513	20	20	All Levels	0.34	1.0	10/6/2016
327962	Forex Trading Profitably	20	Paid	512	13	15	Expert Level	0.6	0.666666667	11/4/2014
221872	Working Capital Management for Entrepreneurs	20	Paid	507	5	15	Beginner Level	0.92	1.0	11/19/2014
941120	Option Trading for Rookies: Make & Manage Profitable Trades	95	Paid	507	19	59	Beginner Level	0.16	2.0	9/2/2016
455452	Accounting, Finance and Banking - A Comprehensive Study	180	Paid	507	36	395	All Levels	0.79	33.0	3/26/2015
1041926	How to Trade Forex like a Hedge Fund: Long FX Strategies	115	Paid	504	5	32	Beginner Level	0.55	1.5	3/23/2017
485889	Cost Accounting - A Comprehensive Study	180	Paid	503	43	286	Beginner Level	0.73	29.5	4/26/2015
476622	Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified	40	Paid	500	45	34	Beginner Level	0.48	4.0	4/26/2015
178602	Capital Market Road Map	50	Paid	495	47	21	All Levels	0.42	4.0	3/11/2014
923184	Pin Bars: The Most Powerful Forex Trading Signal	200	Paid	494	16	19	All Levels	0.41	1.0	8/10/2016
619716	Easy Market Profits: 3 Step Stock Investing Strategy	20	Paid	486	3	14	All Levels	0.26	3.0	9/23/2015
179500	Interest Rate Swaps	50	Paid	485	24	20	Beginner Level	0.2	3.5	3/11/2014
1102462	FOREX Trading with Price Action	195	Paid	484	57	19	Beginner Level	0.99	1.0	3/14/2017
624016	TRADING FOR A LIVING: Trading Full-Time Transition Guide	195	Paid	483	10	40	Intermediate Level	0.99	3.5	11/6/2015
577198	Asset Protection Using Offshore Companies	20	Paid	480	3	21	Beginner Level	0.99	1.0	8/12/2015
702138	Bitcoin Investing: The Complete Buy & Hold Strategy	25	Paid	477	70	41	Beginner Level	0.99	4.0	1/10/2016
436488	Futures/Commodity Trading	50	Paid	472	34	23	All Levels	0.99	5.5	3/5/2015
551910	SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots	25	Paid	462	18	34	All Levels	0.99	1.0	7/16/2015
676764	Create Your Own Automated Stock Trading Robot In EXCEL!	150	Paid	461	45	44	All Levels	0.99	5.0	12/9/2015
41961	Options Foundation - Time Decay, Implied Volatility, Greeks	60	Paid	459	25	14	All Levels	0.47	3.0	2/17/2013
42640	Technical Analysis - A practical approach for trade entry	60	Paid	454	52	15	All Levels	0.98	2.0	2/24/2013
379196	Binary Options Beginners Guide : Nadex	40	Paid	454	52	39	Beginner Level	0.15	2.0	1/9/2015
1070886	Python Algo Trading: FX Trading with Oanda	200	Paid	453	42	33	All Levels	0.91	3.0	3/14/2017
781954	Cost Accounting and Financial Management - A Complete Study	150	Paid	452	14	444	All Levels	0.14	45.0	3/4/2016
868686	Double Entry Bookkeeping	50	Paid	440	17	10	Beginner Level	0.47	1.0	6/15/2016
713416	Proven Methods In Trading Candlestick Patterns	75	Paid	438	10	22	All Levels	0.19	1.5	2/12/2016
1002282	Bitcoin - Ethereum: Trading -Watch me manage my own account!	165	Paid	431	58	22	Beginner Level	0.15	2.5	11/12/2016
179824	Equity Products	50	Paid	426	17	16	All Levels	0.51	2.5	3/11/2014
