course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
818786	Drum Lessons For Beginners	95	paid	14	1	34	Beginner Level	0.16	2.5	4/13/2016
721202	Guitar 201: Breakthroughs	20	paid	14	1	49	Beginner Level	0.16	2.5	1/22/2016
1076244	Practical Guitar Theory: Level 1	60	paid	14	3	41	Intermediate Level	0.16	1.5	5/1/2017
211052	Aprende todos los secretos de la guitarra flamenca	50	paid	13	2	23	Beginner Level	0.16	3.5	5/7/2014
450246	Back In Black the AC/DC Classic Rock Track	20	paid	13	1	72	All Levels	0.16	2	4/10/2015
794398	Make Electronic Music with the iPad	20	paid	13	0	69	All Levels	0.16	1.5	4/1/2016
269830	Rhythm to Rock Drum Lesson 5	20	paid	13	3	9	All Levels	0.16	1	8/18/2014
933814	Instant Harmonica - play Blowing in the Wind + Popeye theme!	40	paid	13	1	24	Beginner Level	0.16	1.5	9/23/2016
266004	Rhythm to Rock Drum Lesson 4	20	paid	12	3	12	All Levels	0.16	1.5	8/18/2014
1149202	Guitar Solo - Theory and Improvisation Lessons	60	paid	12	4	34	Beginner Level	0.16	1.5	4/11/2017
269832	Rhythm to Rock Drum Lesson 6	20	paid	12	1	13	Intermediate Level	0.16	1.5	8/21/2014
802040	Bluegrass Guitar Essentials: Webisodes 3 & 4	30	paid	12	2	13	Beginner Level	0.16	2	3/24/2016
1025536	Coach Guitar - Amazing New Way To Learn Guitar With Colors	50	paid	12	0	321	All Levels	0.06	3.5	12/27/2016
205764	Rhythm to Rock Drum Lessons 3	20	paid	12	2	12	Beginner Level	0.06	1	7/18/2014
802038	Bluegrass Guitar Essentials: Webisodes 5 & 6	30	paid	11	2	16	All Levels	0.06	3	4/13/2016
818838	Trombone Lessons For Beginners	95	paid	11	2	34	Beginner Level	0.06	3	4/14/2016
771880	Clarinet Lessons For Beginners	95	paid	11	0	41	All Levels	0.06	3	2/26/2016
196234	Easy Piano - learn and play along	20	paid	11	1	48	All Levels	0.06	1	5/14/2014
211780	Aprende a tocar el teclado como los expertos	50	paid	11	1	37	All Levels	0.06	2.5	5/9/2014
935900	Pedais de efeito para Contrabaixo	50	paid	10	3	10	Beginner Level	0.06	2.5	8/26/2016
1114722	Complete Beginners Introduction to Guitar	40	paid	10	4	35	Beginner Level	0.06	1.5	2/27/2017
839028	Bluegrass Guitar Essentials: Webisodes 9 & 10	30	paid	10	0	12	All Levels	0.06	2	8/6/2016
214794	Aprende a tocar ritmo pop en el piano y teclado	20	paid	10	1	9	All Levels	0.06	0.716666667	5/16/2014
1040596	Greensleeves' Creative Piano Lessons Course	20	paid	10	1	8	All Levels	0.06	2	1/3/2017
832514	Acoustic Guitar Lessons For Beginners	95	paid	10	3	39	All Levels	0.06	3	4/27/2016
212492	Aprende a tocar blues en el piano y teclado	50	paid	10	4	22	Intermediate Level	0.06	2.5	5/9/2014
839030	Bluegrass Guitar Essentials: Webisodes 11 & 12	30	paid	9	1	24	All Levels	0.18	2	10/22/2016
839026	Bluegrass Guitar Essentials: Webisodes 7 & 8	30	paid	9	0	10	Beginner Level	0.81	2	5/5/2016
796188	Step by Step Classical Guitar Course	100	paid	9	1	45	Beginner Level	0.2	4.5	12/8/2016
1198302	Traditional-Style Electric Blues Guitar For Beginners	25	paid	9	2	36	Beginner Level	0.34	3	6/22/2017
1244302	Guitar Strumming 101 - Have More Fun Playing Songs You Love	50	paid	8	2	16	All Levels	0.06	1	6/20/2017
1104492	Instant Harmonica - play the Irish anthem Danny Boy today!	40	paid	8	1	15	Beginner Level	0.94	1	3/21/2017
812602	Piano Lessons For Beginners	95	paid	8	0	50	All Levels	0.15	4	4/12/2016
647884	Beginner Acoustic Guitar Lessons	25	paid	8	0	12	All Levels	0.96	1	10/28/2015
838896	Learn Piano Online-Ambiance Piano Solo	50	paid	8	0	10	All Levels	0.29	1	6/21/2016
