course_id,course_title,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp
1052180,"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",100,6271,68,75,All Levels,0.14,5,6/27/2013
65033,Virtual Piano Lessons - A New Way To Learn Piano,50,5830,29,12,Beginner Level,0.14,1,7/21/2013
315576,Guitar Crash Course (No Experience Necessary),0,5769,78,29,Intermediate Level,0.14,1,1/22/2015
364716,"Beginner Violin 101: Care, Maintenance, and the Right Gear",0,5543,107,29,Beginner Level,0.14,4,3/3/2015
967380,How to play Piano - Go from a Beginner/Intermediate to a Pro,200,5316,159,291,All Levels,0.14,31,10/16/2016
1032864,Learn to Read & Write Music to play Piano & more instruments,115,5292,38,85,Beginner Level,0.14,10.5,12/27/2016
555340,Play Piano in 30 Days! - Start Playing NOW!,0,5188,410,58,All Levels,0.14,3,7/26/2015
574974,The Complete Piano Course - Master The Piano,95,4982,276,240,All Levels,0.14,23,8/20/2015
1105794,Piano Music Theory (Back To Basics) by JFilt,0,4967,308,12,Beginner Level,0.14,0.5,2/13/2017
1229488,Learn to play your favorite guitar songs by ear,50,4733,11,15,Beginner Level,0.14,1.5,5/27/2017
566678,Learn 4 Chords and Play Thousands of Songs!,20,4560,177,22,All Levels,0.14,1.5,8/17/2015
501412,Play Piano by Ear Today! SuperCourse,60,4557,21,77,All Levels,0.14,5.5,1/5/2016
696630,"7 Ways A Beginner Guitarist Can Sound Better, Instantly!",0,4529,193,7,All Levels,0.14,0.6,12/21/2015
286070,5 lecciones que todo guitarrista debe tomar,0,4452,263,14,All Levels,0.14,1,8/23/2014
681692,Guitar Super System Level 2,50,4192,128,34,All Levels,0.14,1.5,11/30/2015
206088,Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,200,4133,173,224,All Levels,0.14,28.5,5/19/2014
687248,3 step formula for playing guitar by ear,25,3937,54,20,Beginner Level,0.14,1.5,12/3/2015
955914,A beginner`s guide to fingerpicking and strumming guitar',0,3481,29,20,All Levels,0.14,2,9/13/2016
658276,Piano for Singer/Songwriters | Write Songs and Perform Live!,100,3371,175,42,Beginner Level,0.14,3,11/12/2015
762374,Guitar Lessons - String Bending And Vibrato Essentials,0,3325,28,5,All Levels,0.14,1,2/15/2016
648506,Blues Guitar Fundamentals,50,3312,107,21,Beginner Level,0.14,1.5,6/27/2016
666322,Learn to Play Piano From a Concert Pianist - For Beginners,200,3206,18,17,Intermediate Level,0.11,1,11/22/2015
198660,Tenor Banjo for Absolute Beginners,0,3167,161,34,Beginner Level,0.11,0.616666667,7/19/2014
385684,Guitar Kick Start,0,3160,47,22,All Levels,0.11,1,3/19/2015
1029440,Modern Rock Guitar Techniques,50,3157,375,32,Beginner Level,0.11,3,12/8/2016
1098994,Fun Ukulele Strumming Course,45,3141,10,15,Beginner Level,0.11,1,2/2/2017
288942,#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs,35,3137,18,68,Beginner Level,0.11,1.5,9/18/2014
105350,Play Piano Today - Easy Festive Favorites & Piano Party Hits,75,3122,6,80,Beginner Level,0.11,4,10/27/2013
1034414,Fingerstyle Guitar Mastery: 3 Techniques You Need To Know,0,3042,40,13,All Levels,0.11,0.566666667,12/13/2016
476324,Guitar - Learn 10 Legendary Chord Progressions for Guitar,55,3013,15,28,All Levels,0.11,1.5,6/14/2015
521440,The Essentials of Acoustic Guitar Strumming Patterns,0,2995,51,19,Beginner Level,0.11,1,7/1/2015
476988,Guitar - Blues Guitar for Beginners,45,2795,26,25,All Levels,0.11,1,5/22/2015
521072,Keyboard Instruments - Read Sheet Music for Piano Fast!,50,2788,52,41,Expert Level,0.11,1.5,7/1/2015
983418,The Allman Brothers Guitar Roots And Techniques,75,2692,29,14,Beginner Level,0.11,1.5,10/29/2016
749686,How to Play the Guitar: Your 30-Day Guide to Learn Guitar,20,2686,10,32,Beginner Level,0.11,6,2/2/2016
20387,Guitar Insanity Workout - Eatmystrings!,50,2673,17,29,Beginner Level,0.11,2.5,7/6/2012
806638,Blues Master - Beginner's Techniques Piano Course,0,2618,41,16,Beginner Level,0.11,1.5,3/29/2016
807934,The 80/20 Guitar: Write Music and Play Guitar in 30 Days,0,2610,28,24,Beginner Level,0.11,3.5,4/20/2016
288854,"Beginner's Guitar: Tuning, Strumming, and Chords!",0,2577,30,6,All Levels,0.11,0.616666667,7/3/2015
873386,Guitar Lessons: The Essential Beginner & Intermediate Course,0,2566,39,23,All Levels,0.11,2,6/10/2016
970880,"Blues Guitar Lessons for Beginners: Chords, Rhythm and Lead",95,2558,19,16,All Levels,0.11,3,10/19/2016
138228,Get great playing HARMONICA - a fun new leisure time hobby !,35,2543,44,17,Beginner Level,0.11,2,2/12/2014
647338,How To Make Money With A Cover Band,50,2498,12,25,All Levels,0.11,3.5,3/30/2017
422546,Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days,95,2415,16,115,All Levels,0.11,2.5,2/17/2015
782430,Playing Piano: Scales and Arpeggios Vol.I : Major keys,50,2358,3,26,All Levels,0.11,1,3/31/2016
51752,Just chords Piano: Learn to Play Piano Quickly - No Music,85,2357,15,53,Beginner Level,0.11,5,5/2/2013
311530,"Learn How to Play Blues, Rock, & Boogie Woogie Piano Today",45,2346,11,14,Intermediate Level,0.12,0.65,10/8/2014
1116196,Essential Theory and Technique for Guitar,0,2285,34,22,Beginner Level,0.76,2,2/25/2017
659918,Piano Runs & Fills #2: Play Rolling Cascading Runs for Intro,70,2164,10,30,Beginner Level,0.47,1,11/4/2015
1003568,Master Class # 11:  Play Piano Techniques Learn Piano 1 to10,95,2164,10,113,Beginner Level,0.73,2,11/7/2016
515256,Guitar - 12  Strumming Patterns You Must Know For Guitar,50,2154,40,16,Beginner Level,0.69,1,7/6/2015
